id,date,category,units,unit_price,total
159,2026-04-25,Doohickey,14,367.00,5138.00
160,2026-05-26,Widget,21,380.00,7980.00
161,2026-06-27,Gadget,28,393.00,11004.00
162,2026-07-01,Gizmo,35,406.00,14210.00
163,2026-08-02,Doohickey,42,419.00,17598.00
164,2026-09-03,Widget,49,432.00,21168.00
165,2026-10-04,Gadget,6,445.00,2670.00
166,2026-11-05,Gizmo,13,458.00,5954.00
167,2026-12-06,Doohickey,20,471.00,9420.00
168,2026-01-07,Widget,27,484.00,13068.00
169,2026-02-08,Gadget,34,497.00,16898.00
170,2026-03-09,Gizmo,41,510.00,20910.00
171,2026-04-10,Doohickey,48,523.00,25104.00
172,2026-05-11,Widget,5,536.00,2680.00
173,2026-06-12,Gadget,12,549.00,6588.00
174,2026-07-13,Gizmo,19,562.00,10678.00
175,2026-08-14,Doohickey,26,575.00,14950.00
176,2026-09-15,Widget,33,588.00,19404.00
177,2026-10-16,Gadget,40,601.00,24040.00
178,2026-11-17,Gizmo,47,614.00,28858.00
179,2026-12-18,Doohickey,4,627.00,2508.00
180,2026-01-19,Widget,11,640.00,7040.00
181,2026-02-20,Gadget,18,653.00,11754.00
182,2026-03-21,Gizmo,25,666.00,16650.00
183,2026-04-22,Doohickey,32,679.00,21728.00
184,2026-05-23,Widget,39,692.00,26988.00
185,2026-06-24,Gadget,46,705.00,32430.00
186,2026-07-25,Gizmo,3,718.00,2154.00
187,2026-08-26,Doohickey,10,731.00,7310.00
188,2026-09-27,Widget,17,744.00,12648.00
189,2026-10-01,Gadget,24,757.00,18168.00
190,2026-11-02,Gizmo,31,770.00,23870.00
191,2026-12-03,Doohickey,38,783.00,29754.00
192,2026-01-04,Widget,45,796.00,35820.00
193,2026-02-05,Gadget,2,809.00,1618.00
194,2026-03-06,Gizmo,9,822.00,7398.00
195,2026-04-07,Doohickey,16,835.00,13360.00
196,2026-05-08,Widget,23,848.00,19504.00
197,2026-06-09,Gadget,30,861.00,25830.00
198,2026-07-10,Gizmo,37,874.00,32338.00
199,2026-08-11,Doohickey,44,887.00,39028.00
200,2026-09-12,Widget,1,900.00,900.00
